site_id,ablabesmyia,acentrella,acerpenna,acricotopus,aeshna,agabus,agnetina,amnicola,amphinemura,anacaena,anax,anchytarsus,ancyronyx,anopheles,antocha,apsectrotanypus,argia,atherix,atrichopogon,attenella,aulodrilus,baetis,basiaeschna,belostoma,berosus,bezzia,bithynia,boyeria,brachycentrus,brachycercus,branchiura,brillia,brundiniella,caecidotea,caenis,callibaetis,calopteryx,cambarus,campeloma,cardiocladius,celina,centroptilum,ceratopsyche,chaetocladius,chaetogaster,chaoborus,chauliodes,chelifera,cheumatopsyche,chimarra,chironomus,chrysops,cipangopaludina,cladopelma,cladotanytarsus,clinotanypus,cloeon,coelotanypus,conchapelopia,corbicula,cordulegaster,corynoneura,crangonyx,cricotopus,cryptochironomus,cryptotendipes,culicoides,cymbiodyta,cyrnellus,demicryptochironomus,dero,diamesa,dicranota,dicrotendipes,dictya,dineutus,diphetor,diplocladius,dixella,dolophilodes,donacia,dromogomphus,dubiraphia,dugesia,dytiscus,echinogammarus,ectopria,einfeldia,enallagma,endochironomus,endotribelos,enochrus,ephemera,ephemerella,ephoron,epoicocladius,erpobdella,erythemis,eukiefferiella,eurylophella,ferrissia,fossaria,frenesia,gammarus,gelastocoris,georyssus,glyptotendipes,goeldichironomus,goera,gomphus,guttipelopia,gyraulus,gyrinus,habrophlebia,habrophlebiodes,hagenius,haliplus,harnischia,helichus,helicopsyche,helisoma,helobdella,helophorus,hemerodromia,hesperocorixa,heterocloeon,heterotrissocladius,hexagenia,hexatoma,hyalella,hydatophylax,hydraena,hydrobius,hydroporus,hydropsyche,hydroptila,ilybius,ilyodrilus,ischnura,isonychia,isoperla,iswaeon,kiefferulus,krenopelopia,labrundinia,laccophilus,laevapex,larsia,lauterborniella,lepidostoma,lestes,leucorrhinia,leucrocuta,leuctra,limnephilus,limnodrilus,limnophyes,limonia,lumbriculus,lype,maccaffertium,macrobdella,macronychus,macropelopia,menetus,merragata,mesovelia,microcylloepus,micropsectra,microtendipes,microvelia,molanna,musculium,mystacides,nais,nanocladius,natarsia,nectopsyche,neoclypeodytes,neophylax,neoplasta,neoplea,neoporus,neozavrelia,neureclipsis,neurocordulia,nigronia,nilotanypus,nilothauma,notonecta,odontomesa,odontomyia,oecetis,oligostomis,omisus,ophidonais,ophiogomphus,optioservus,orconectes,orthocladius,oulimnius,oxyethira,pagastia,pagastiella,parachaetocladius,parachironomus,paracladopelma,parakiefferiella,paralauterborniella,paraleptophlebia,paramerina,parametriocnemus,paraphaenocladius,parapoynx,paratanytarsus,paratendipes,pelocoris,peltodytes,pentaneura,pericoma,perlesta,phaenopsectra,phylocentropus,physella,pisidium,placobdella,planorbella,platycentropus,plauditus,polycentropus,polypedilum,potamyia,potthastia,pristina,probezzia,procladius,procloeon,prodiamesa,prostoma,psectrocladius,psectrotanypus,psephenus,pseudocentroptiloides,pseudochironomus,pseudocloeon,pseudolimnophila,pseudosuccinea,psilotreta,psychoglypha,pteronarcys,ptilostomis,pycnopsyche,quistadrilus,ranatra,rhagovelia,rheocricotopus,rheotanytarsus,rheumatobates,rhyacodrilus,rhyacophila,saetheria,sialis,simulium,siphlonurus,siphloplecton,slavina,somatochlora,sparbarus,sphaerium,spirosperma,stagnicola,stempellina,stempellinella,stenacron,stenelmis,stenochironomus,stenonema,stictochironomus,stratiomys,stylaria,stylodrilus,stylogomphus,stylurus,sublettea,sympetrum,synorthocladius,tabanus,taeniopteryx,tallaperla,tanypus,tanytarsus,thienemanniella,thienemannimyia,tipula,triaenodes,tribelos,trichocorixa,tricorythodes,trissopelopia,tropisternus,tvetenia,undetermined_aeshnidae,undetermined_ancylidae,undetermined_baetidae,undetermined_belostomatidae,undetermined_calopterygidae,undetermined_cambaridae,undetermined_ceratopogonidae,undetermined_chironomidae,undetermined_chironomini,undetermined_chrysomelidae,undetermined_coenagrionidae,undetermined_corbiculidae,undetermined_corduliidae,undetermined_corixidae,undetermined_corydalidae,undetermined_crangonyctidae,undetermined_crassiclitellata,undetermined_culicidae,undetermined_curculionidae,undetermined_diptera,undetermined_dixidae,undetermined_dolichopodidae,undetermined_dryopidae,undetermined_dytiscidae,undetermined_elmidae,undetermined_empididae,undetermined_enchytraeidae,undetermined_ephemerellidae,undetermined_ephydridae,undetermined_erpobdellidae,undetermined_gastropoda,undetermined_gerridae,undetermined_glossiphoniidae,undetermined_gomphidae,undetermined_gyrinidae,undetermined_haliplidae,undetermined_hebridae,undetermined_hemiptera,undetermined_heptageniidae,undetermined_hydrobiidae,undetermined_hydrophilidae,undetermined_hydropsychidae,undetermined_hydroptilidae,undetermined_lepidoptera,undetermined_leptoceridae,undetermined_leptophlebiidae,undetermined_leuctridae,undetermined_libellulidae,undetermined_limnephilidae,undetermined_lumbriculata,undetermined_lumbriculidae,undetermined_lymnaeidae,undetermined_muscidae,undetermined_naididae,undetermined_naucoridae,undetermined_nematoda,undetermined_nemertea,undetermined_notonectidae,undetermined_orthocladiinae,undetermined_perlodidae,undetermined_phoridae,undetermined_phryganeidae,undetermined_physidae,undetermined_pisidiidae,undetermined_planorbidae,undetermined_platyhelminthes,undetermined_pleidae,undetermined_pleuroceridae,undetermined_polycentropodidae,undetermined_saldidae,undetermined_scirtidae,undetermined_simuliidae,undetermined_sisyridae,undetermined_tabanidae,undetermined_tanypodinae,undetermined_tanytarsini,undetermined_tipulidae,undetermined_unionidae,undetermined_valvatidae,undetermined_veliidae,unniella,valvata,viviparus,xenochironomus,xylotopus,zavrelia,zavreliella,zavrelimyia,,dom_5_ttaxa,pct_gatherer,rich_ttaxa,pct_rich_ttaxa_toe,rich_ttaxa_tol_0to7,shannon_ttaxa_toe,condition_class,SITE_SCORE_FINAL
01-FISN-2.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,122,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,14.87207153,1.767157604,15.625,15.38461538,3.333333333,0,3,0
01-GILL-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9,0,0,0,0,15,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,,18.7294201,18.916196,18.75,58.29959514,20,46.66316357,3,1.599809473
01-GOTC-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,146,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,,29.61899062,35.41244244,40.625,42.6035503,33.33333333,37.20452681,3,2.613146413
01-LSIS-2.4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,0,0,0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,9,0,0,109,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,11,1,4,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,,50.96932849,31.83274676,56.25,53.59801489,46.66666667,47.62652235,2,4.457571285
01-MURD-20.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,13,3,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,1,10,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,,74.00992713,46.40437044,75,59.87525988,70,82.8187418,2,7.737024626
01-PION-0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,24,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,,71.32778719,37.17445715,65.625,24.43438914,33.33333333,47.61726414,2,4.256442479
01-PLUT_N_T4-1.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,3,0,2,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,,43.90331862,61.00563073,59.375,34.61538462,53.33333333,59.10854402,2,5.117925899
01-STYB_T5-0.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,26,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,14,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,3,5,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,2,0,0,0,0,27,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,,82.8930495,55.54656721,68.75,7.912087912,56.66666667,0,2,4.046847115
01-TONA-103.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,1,0,0,2,0,0,0,0,0,8,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,76.60083782,78.03721408,81.25,56.80473373,100,91.95947568,2,9.808764077
01-VBUR-0.4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,56,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,14,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,67.59646594,38.275373,50,19.09814324,43.33333333,19.30841874,2,3.122363321
